repo,commit,parent,commit_date,removed_dep,commit_message,native_replacement_evidence,native_migration_score,lines_of_code_before,lines_of_code_after,avg_complexity_before,avg_complexity_after,dependencies_before,dependencies_after,vulnerable_dependencies_before,vulnerable_dependencies_after
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,remark-toc,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,unified-stream,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,remark-parse,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,unified,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,remark-preset-lint-recommended,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,remark,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,remark-cli,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,remark-stringify,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
jondot/awesome-react-native,b3bd04920d12c2c7a59caa212a75e3f7d3caf749,7aa428daddc10798b3040bcd118f7a64e8d79d02,2018-11-03T18:53:35+02:00,doctoc,move to celeste for repo maintenance,False,0,,16,,,9,1,0,0
typescript-cheatsheets/react,5bd304341d0444021fab0f442b6b9932a3b8a508,b47c4c1daf58a4feb38667cebd816f1dfa1e2d37,2022-06-06T11:14:39+02:00,@octokit/rest,Rework gen-readme (#511),False,0,674,703,1.625,1.6,11,11,2,2
upstash/context7,2e6c9a6c6b1a9c121f1a0cc4a5a5b1adb61e58ff,1042650638943ef8d1ed48ef93678c1ec1854f06,2025-06-11T14:49:50+03:00,dotenv,"feat: replace env vars with CLI arguments, remove dotenv and add commander",False,0,430,434,3.933333333333333,3.8125,12,12,3,3
