repo,commit,parent,commit_date,removed_dep,commit_message,native_replacement_evidence,native_migration_score,lines_of_code_before,lines_of_code_after,avg_complexity_before,avg_complexity_after
trekhleb/javascript-algorithms,5ff0b40f7c287e15b87e831a0bd44f75ccf61b88,8d832ca5f27f6d584e833e6d3a4a1fe0b9ae970a,2018-04-27T08:51:48+03:00,npm,Update packages.,False,0,5628,5628,1.9914,1.9914
airbnb/javascript,0681a43e0a0181e8cafd0d3004f967a238411ba2,55899b57a6de826d8d762693d6d4f999d652ae2d,2024-01-04T19:14:38+00:00,object.entries,[eslint config] [*] [refactor] remove `object.entries` dependency,False,0,,,,
airbnb/javascript,fd96a4fd57be26d4d9d2f2d24b373a2df7c23548,81157eec2309449b31f36bf8940493623f2530c6,2022-12-30T14:48:36-08:00,object.assign,[eslint config] [*] [refactor] use object spread instead of `Object.assign`,False,0,,,,
airbnb/javascript,d8cb404da74c302506f91e5928f30cc75109e74d,52e710c14ec0197cfefe131061e1fe41c966f93b,2021-11-11T23:45:40+08:00,semver,[eslint config] [base] remove unneeded eslint version check,False,0,,,,
airbnb/javascript,21b65e943c361f91af5a484460fb2c8d02e2ff92,74deb81d1fa670a5a462f6ada29d9447cf61c7c0,2018-11-20T09:40:02+00:00,eslint-restricted-globals,[eslint config] [base] [deps] Switch to confusing-browser-globals,False,0,,,,
airbnb/javascript,20b6913202bdc9e394b6f9a4475dd9a46b1dc704,cac2d2848d4e1c777231e73478f2eaa23021c888,2015-08-08T17:46:56+03:00,strip-json-comments,Simplify ESLint config package.,False,0,11,220,1.0,5.5
airbnb/javascript,f5cac3cc5c1deae3912cc5f1d04712298a8dff19,2f55be7cc3525d20812918b0c2dc5a59f6504d0c,2015-07-30T14:48:32-07:00,airbnb-style,[eslint] remove most dependencies,False,0,11,11,1.0,1.0
airbnb/javascript,f5cac3cc5c1deae3912cc5f1d04712298a8dff19,2f55be7cc3525d20812918b0c2dc5a59f6504d0c,2015-07-30T14:48:32-07:00,babel-eslint,[eslint] remove most dependencies,False,0,11,11,1.0,1.0
airbnb/javascript,f5cac3cc5c1deae3912cc5f1d04712298a8dff19,2f55be7cc3525d20812918b0c2dc5a59f6504d0c,2015-07-30T14:48:32-07:00,eslint,[eslint] remove most dependencies,False,0,11,11,1.0,1.0
airbnb/javascript,f5cac3cc5c1deae3912cc5f1d04712298a8dff19,2f55be7cc3525d20812918b0c2dc5a59f6504d0c,2015-07-30T14:48:32-07:00,eslint-plugin-react,[eslint] remove most dependencies,False,0,11,11,1.0,1.0
airbnb/javascript,f5cac3cc5c1deae3912cc5f1d04712298a8dff19,2f55be7cc3525d20812918b0c2dc5a59f6504d0c,2015-07-30T14:48:32-07:00,resolve,[eslint] remove most dependencies,False,0,11,11,1.0,1.0
Chalarangelo/30-seconds-of-code,ac39b723d46a42b461af1eec65ce2d31212aea78,71ba2de6444cd348925b1d56291c6bfde33b07f7,2020-12-22T12:39:59+02:00,gatsby-plugin-remove-serviceworker,Remove gatsby-plugin-remove-serviceworker,False,0,,,,
Chalarangelo/30-seconds-of-code,8cb610715b763174611b3e82b0ee4876d3dc07ea,e7f8b7abe6012d03d6f8d77e27f9b51102d2c055,2020-08-19T21:10:08+03:00,sharp,Replace icon-font-generator with custom solution,False,0,,,,
Chalarangelo/30-seconds-of-code,fb14233f4be6b395f81adf801746086d135979f5,fab4b1902e8cd1f133d3208b7b54fe614bd3eebe,2019-08-24T11:56:00+03:00,feather-icons,"Regenerate lock, update Travis, setup GA, cleanup home page on mobile",False,0,2519,2517,1.7357,1.7357
Chalarangelo/30-seconds-of-code,fb14233f4be6b395f81adf801746086d135979f5,fab4b1902e8cd1f133d3208b7b54fe614bd3eebe,2019-08-24T11:56:00+03:00,focus-visible,"Regenerate lock, update Travis, setup GA, cleanup home page on mobile",False,0,2519,2517,1.7357,1.7357
