repo,stars,forks,dependencies,dev_dependencies,vulnerable_deps,cves,path_usado
facebook/react,240156,49689,0,0,0,[],
trekhleb/javascript-algorithms,193810,30933,0,0,0,[],
airbnb/javascript,147713,26793,0,0,0,[],
f/awesome-chatgpt-prompts,135908,18089,0,0,0,[],
vercel/next.js,135363,29706,5,221,3,"['GHSA-566m-qj78-rww5', 'GHSA-7fh5-64p2-3v2j', 'GHSA-hwj9-h5mp-3pm3']",packages/next
Chalarangelo/30-seconds-of-code,125654,12361,0,0,0,[],
nodejs/node,114057,33607,0,0,0,[],
open-webui/open-webui,113715,15804,91,27,71,"['GHSA-g5m6-hxpp-fc49', 'GHSA-fwr7-v2mv-hh25', 'GHSA-h68q-55jf-x68w', 'GHSA-4gw3-8f77-f72c', 'GHSA-63q7-h895-m982', 'GHSA-8hgg-xxm5-3873', 'GHSA-chqj-j4fh-rw7m', 'GHSA-gx9m-whjm-85jf', 'GHSA-mjjq-c88q-qhr6', 'GHSA-mmhx-hmjr-r674', 'GHSA-p3vf-v8qc-cwcr', 'GHSA-vhxf-7vqr-mrjg', 'GHSA-7wwv-vh3v-89cq', 'GHSA-vfrc-7r7c-w9mx', 'GHSA-cmh5-qc8w-xvcq', 'GHSA-f89g-whpf-6q9m', 'GHSA-3q6f-8grx-pr4v', 'GHSA-57f3-gghm-9mhc', 'GHSA-8mvj-3j78-4qmw', 'GHSA-vh59-v9r5-4mh4', 'GHSA-w532-jxjh-hjhj', 'GHSA-3wc5-fcw2-2329', 'GHSA-64fm-8hw2-v72w', 'GHSA-cg87-wmx4-v546', 'GHSA-cvr6-37gx-v8wc', 'GHSA-f98w-7cxr-ff2h', 'GHSA-4r62-v4vq-hr96', 'GHSA-5v2h-r2cx-5xgj', 'GHSA-7px7-7xjx-hxm8', 'GHSA-9cw2-jqp5-7x39', 'GHSA-cfjh-p3g4-3q2f', 'GHSA-ch52-vgq2-943f', 'GHSA-hjcp-j389-59ff', 'GHSA-p9wx-2529-fp83', 'GHSA-rrrm-qjm4-v8hf', 'GHSA-vfvf-mqq8-rwqc', 'GHSA-x5pg-88wf-qq4p', 'GHSA-xf5p-87ch-gxw2', 'GHSA-4f6x-49g2-99fm', 'GHSA-7rqq-prvp-x9jh', 'GHSA-8gwm-58g9-j8pw', 'GHSA-m4gq-x24j-jpmf', 'GHSA-p3rp-vmj9-gv6v', 'GHSA-w32g-5hqp-gg6q', 'GHSA-x3vm-38hw-55wf', 'GHSA-7jg2-jgv3-fmr4', 'GHSA-wgrm-67xf-hhpq', 'GHSA-3787-6prv-h9w3', 'GHSA-3cvr-822r-rqcc', 'GHSA-3g92-w8c5-73pq', 'GHSA-5r9g-qh6m-jxff', 'GHSA-8qr4-xgw6-wmr3', 'GHSA-9f24-jqhm-jfcw', 'GHSA-9qxr-qj54-h672', 'GHSA-c76h-2ccp-4975', 'GHSA-cxrh-j4jr-qwg3', 'GHSA-f772-66g8-q5h3', 'GHSA-m4v8-wqvr-p9f7', 'GHSA-pgw7-wx7w-2w33', 'GHSA-q768-x9m6-m9qp', 'GHSA-r6ch-mqf9-qc9w', 'GHSA-wqq4-5wpv-mx2g', 'GHSA-4vq7-882g-wcg4', 'GHSA-963h-3v39-3pqf', 'GHSA-cp47-r258-q626', 'GHSA-mp7w-mhcv-673j', 'GHSA-r2qc-w64x-6j54', 'GHSA-rcw3-wmx7-cphr', 'GHSA-w5m3-xh75-mp55', 'GHSA-pp7p-q8fx-2968', 'GHSA-f9xv-q969-pqx4']",root
mrdoob/three.js,109161,36052,0,0,0,[],
axios/axios,108039,11379,3,58,5,"['GHSA-74fj-2j2h-c42q', 'GHSA-cxjh-pqwp-8mfp', 'GHSA-jchw-25xp-jwwc', 'GHSA-pw2r-vq6v-hr8c', 'GHSA-fjxv-7rqg-78g4']",root
facebook/create-react-app,103819,27146,0,0,0,[],
ryanmcdermott/clean-code-javascript,93967,12493,0,0,0,[],
microsoft/Web-Dev-For-Beginners,92804,14399,0,0,0,[],
jaywcjlove/awesome-mac,92083,6967,0,0,0,[],
sveltejs/svelte,84538,4664,0,0,0,[],
louislam/uptime-kuma,77430,6846,78,64,87,"['GHSA-7v5v-9h63-cj86', 'GHSA-pp75-xfpw-37g9', 'GHSA-42xw-2xvc-qx8m', 'GHSA-4hjh-wcwx-xvwj', 'GHSA-4w2v-q235-vp99', 'GHSA-8hc4-vh64-cxmj', 'GHSA-cph5-m8f7-6c5x', 'GHSA-jr5f-v2jv-69x6', 'GHSA-wf5p-g6vw-rhxx', 'GHSA-cff4-rrq6-h78w', 'GHSA-cm5g-3pgc-8rg4', 'GHSA-gpvr-g6gh-9mc2', 'GHSA-jj78-5fmv-mv28', 'GHSA-qw6h-vgh9-j6wx', 'GHSA-rv95-896h-c2vc', 'GHSA-c35v-qwqg-87jc', 'GHSA-fjxv-7rqg-78g4', 'GHSA-86wf-436m-h424', 'GHSA-8w57-jfpm-945m', 'GHSA-8g7p-74h8-hg48', 'GHSA-pc5p-h8pf-mvwp', 'GHSA-p9w8-2mpq-49h9', 'GHSA-fqg8-vfv7-8fj8', 'GHSA-8cf7-32gw-wr33', 'GHSA-c7hr-j4mj-j2w6', 'GHSA-hjrf-2m68-5959', 'GHSA-qwph-4952-7xr6', 'GHSA-4jv9-3563-23j3', 'GHSA-58v4-qwx5-7f59', 'GHSA-45rm-2893-5f49', 'GHSA-4r62-v4vq-hr96', 'GHSA-5v2h-r2cx-5xgj', 'GHSA-7px7-7xjx-hxm8', 'GHSA-9cw2-jqp5-7x39', 'GHSA-cfjh-p3g4-3q2f', 'GHSA-ch52-vgq2-943f', 'GHSA-hjcp-j389-59ff', 'GHSA-p9wx-2529-fp83', 'GHSA-rrrm-qjm4-v8hf', 'GHSA-vfvf-mqq8-rwqc', 'GHSA-x5pg-88wf-qq4p', 'GHSA-xf5p-87ch-gxw2', 'GHSA-mh5c-679w-hh4r', 'GHSA-vxvm-qww3-2fh7', 'GHSA-h9mj-fghc-664w', 'GHSA-hg78-c92r-hvwr', 'GHSA-49j4-86m8-q2jw', 'GHSA-4rch-2fh8-94vw', 'GHSA-fpw7-j2hg-69v5', 'GHSA-mqr2-w7wj-jjgr', 'GHSA-pmh2-wpjm-fj45', 'GHSA-mwcw-c2x4-8c55', 'GHSA-qrpm-p2h7-hrv2', 'GHSA-48ww-j4fc-435p', 'GHSA-9h6g-pr28-7cqp', 'GHSA-hwqf-gcqm-7353', 'GHSA-mm7p-fcc7-pg87', 'GHSA-wc9v-mj63-m9g5', 'GHSA-762f-c2wg-m8c8', 'GHSA-g954-5hwp-pp24', 'GHSA-h755-8qp9-cq85', 'GHSA-f9cm-p3w6-xvr3', 'GHSA-gqgv-6jq5-jjj9', 'GHSA-hrpp-h998-j3pp', 'GHSA-jjv7-qpx3-h62q', 'GHSA-35q2-47q7-3pc3', 'GHSA-c2qf-rxjj-qqgw', 'GHSA-x6fg-f45m-jf5q', 'GHSA-25hc-qcg6-38wj', 'GHSA-fxwf-4rqh-v8g3', 'GHSA-qv2v-m59f-v5fw', 'GHSA-3jfq-g458-7qm9', 'GHSA-5955-9wpr-37jh', 'GHSA-9r2w-394v-53qc', 'GHSA-f5x3-32g6-xq36', 'GHSA-gfjr-3jmm-4g9v', 'GHSA-j44m-qm6p-hp7m', 'GHSA-qq89-hq3f-393p', 'GHSA-r628-mhmh-qjhw', 'GHSA-72xf-g2v4-qvf3', 'GHSA-g7q5-pjjr-gqvp', 'GHSA-qhv9-728r-6jqg', 'GHSA-2mhh-w6q8-5hxw', 'GHSA-3h5v-q93c-6h6q', 'GHSA-5v72-xg48-5rpm', 'GHSA-6663-c963-2gqg', 'GHSA-6fc8-4gx4-v693']",root
anuraghazra/github-readme-stats,76720,26664,5,23,8,"['GHSA-42xw-2xvc-qx8m', 'GHSA-4hjh-wcwx-xvwj', 'GHSA-4w2v-q235-vp99', 'GHSA-8hc4-vh64-cxmj', 'GHSA-cph5-m8f7-6c5x', 'GHSA-jr5f-v2jv-69x6', 'GHSA-wf5p-g6vw-rhxx', 'GHSA-j8xg-fqg3-53r7']",root
FortAwesome/Font-Awesome,75766,12209,0,0,0,[],
typicode/json-server,75256,7239,13,14,5,"['MAL-2025-46969', 'GHSA-ff7x-qrg7-qggm', 'GHSA-mf6x-hrgr-658f', 'GHSA-xrh7-m5pp-39r6', 'GHSA-9c47-m6qq-7p4h']",root
hakimel/reveal.js,69747,16772,0,0,0,[],
expressjs/express,68094,21325,28,16,17,"['GHSA-qwcr-r2fm-qrc7', 'GHSA-pxg6-pf52-xh8x', 'GHSA-92vm-wfm5-mxvv', 'GHSA-4x49-vf9v-38px', 'GHSA-9vvw-cc9w-f27h', 'GHSA-gxpj-cx7g-858c', 'MAL-2025-46974', 'GHSA-9qj9-36jm-prpv', 'GHSA-f9cm-p3w6-xvr3', 'GHSA-gqgv-6jq5-jjj9', 'GHSA-hrpp-h998-j3pp', 'GHSA-jjv7-qpx3-h62q', 'GHSA-jgqf-hwc5-hh37', 'GHSA-m6fv-jmcg-4jfg', 'GHSA-xwg4-93c6-3h42', 'GHSA-c3x7-gjmx-r2ff', 'GHSA-cm22-4g7w-348p']",root
chartjs/Chart.js,66700,11982,1,45,0,[],root
leonardomso/33-js-concepts,65884,9199,0,0,0,[],
webpack/webpack,65721,9162,25,86,3,"['GHSA-6chw-6frg-f759', 'GHSA-w8qv-6jwh-64r5', 'GHSA-hxxf-q3w9-4xgw']",root
juliangarnier/anime,65080,4357,0,0,0,[],
resume/resume.github.com,62674,1360,0,0,0,[],
lodash/lodash,61323,7081,0,0,0,[],
atom/atom,60822,17318,157,0,12,"['GHSA-fwr7-v2mv-hh25', 'GHSA-h68q-55jf-x68w', 'GHSA-qrmh-qg46-72pp', 'MAL-2025-46985', 'GHSA-xf7w-r453-m56c', 'GHSA-f8q6-p94x-37v3', 'GHSA-hxm2-r34f-qmc5', 'GHSA-566m-qj78-rww5', 'GHSA-7fh5-64p2-3v2j', 'GHSA-hwj9-h5mp-3pm3', 'GHSA-c2qf-rxjj-qqgw', 'GHSA-x6fg-f45m-jf5q']",root
adam-p/markdown-here,60047,11180,0,0,0,[],
jquery/jquery,59621,20542,0,0,0,[],
gorhill/uBlock,59387,3783,0,0,0,[],
angular/angular.js,58950,27330,0,0,0,[],
jgraph/drawio-desktop,57564,5477,10,6,1,['GHSA-9jxc-qjr9-vjxq'],root
h5bp/html5-boilerplate,57240,12307,0,0,0,[],
scutan90/DeepLearning-500-questions,56754,15972,0,0,0,[],
gatsbyjs/gatsby,55940,10264,0,0,0,[],
azl397985856/leetcode,55688,9482,0,0,0,[],
mozilla/pdf.js,52144,10498,0,0,0,[],
